Name,WAR,Rank
69,53.900000000000006,1
4,53.800000000000004,2
503,53.2,3
615,53.2,4
618,53.1,5
500,52.800000000000004,6
228,52.7,7
300,52.5,8
225,52.400000000000006,9
380,52.400000000000006,10
353,52.300000000000004,11
566,52.300000000000004,12
672,52.2,13
120,52.1,14
183,52.0,15
250,52.0,16
645,52.0,17
701,52.0,18
24,51.9,19
70,51.9,20
154,51.9,21
314,51.9,22
467,51.9,23
571,51.9,24
577,51.9,25
37,51.800000000000004,26
336,51.800000000000004,27
337,51.800000000000004,28
407,51.800000000000004,29
553,51.800000000000004,30
14,51.7,31
669,51.7,32
61,51.6,33
83,51.6,34
475,51.6,35
134,51.5,36
352,51.5,37
435,51.5,38
636,51.5,39
76,51.4,40
292,51.4,41
516,51.4,42
659,51.4,43
232,51.300000000000004,44
239,51.300000000000004,45
329,51.300000000000004,46
390,51.300000000000004,47
427,51.300000000000004,48
597,51.300000000000004,49
755,51.300000000000004,50
