Rk,Name,Age,PA,Tm,BtRuns,BtWins,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,PHlev,AB,Name-additional
579,Amed Rosario,27,133,LAD,-2.4,-0.2,141,0.1,2,-1.9,0.85,0,0.1,0.10%,0.80%,-0.70%,0.48,0.00%,-2.5,-0.2,1.05,-1.3,0.46,9,rosaram01
580,Eddie Rosario*,31,516,ATL,-2,-0.2,533,0.9,10.4,-9.5,0.97,0,0.9,0.60%,5.00%,-4.40%,0.74,0.80%,1.6,0.2,0.95,-2,1.03,10,rosared01
581,Eguy Rosario,23,37,SDP,0.1,0,38,-0.1,0.6,-0.7,1.04,0.1,-0.2,0.00%,0.00%,0.00%,0.04,0.10%,0.4,0,1,1.8,,0,rosareg01
582,Darin Ruf,36,57,TOT,-1.4,-0.1,59,-0.2,0.7,-1,0.9,-0.2,-0.1,-0.10%,0.40%,-0.50%,0.85,0.00%,-2,-0.2,0.95,-1.8,1.22,5,rufda01
583,Darin Ruf,36,27,SFG,0.3,0,29,-0.1,0.4,-0.6,1.09,0,-0.1,-0.10%,0.20%,-0.30%,0.83,-0.10%,0.4,0,1.01,0.5,2.03,3,rufda01
584,Darin Ruf,36,30,MIL,-1.7,-0.2,30,-0.1,0.3,-0.4,0.71,-0.2,0,-0.10%,0.20%,-0.30%,0.87,0.00%,-2.4,-0.2,0.89,-2.3,0,2,rufda01
585,Esteury Ruiz,24,497,OAK,-6.3,-0.6,588,0,10.3,-10.3,1.14,-0.6,0.6,0.10%,0.80%,-0.70%,0.14,0.80%,1.6,0.2,0.98,-8.3,0.95,10,ruizes01
586,Keibert Ruiz#,24,562,WSN,-3.1,-0.3,568,-0.8,9.9,-10.7,1.03,-1.3,0.5,-0.40%,1.40%,-1.90%,0.28,-0.80%,-5,-0.5,0.91,-13.2,3.71,3,ruizke01
587,Blake Rutherford*,26,36,WSN,-4.8,-0.5,36,-0.4,0.4,-0.7,1.07,-0.5,0.1,0.00%,0.00%,0.00%,0.02,0.10%,-3.7,-0.4,0.94,-5.2,,0,ruthebl01
588,Adley Rutschman#,25,687,BAL,26.2,2.6,698,2.2,12.9,-10.7,0.94,1.9,0.5,1.70%,8.70%,-6.90%,1.02,0.60%,17.7,1.8,0.93,22,1.02,4,rutscad01
589,Blake Sabol*,25,344,SFG,-4.3,-0.4,353,0.9,6.9,-6,1.02,0,0.8,0.30%,4.30%,-3.90%,1.09,0.20%,5,0.5,0.93,-2.3,1.76,11,sabolbl01
590,César Salazar*,27,19,HOU,-3.1,-0.3,20,-0.3,0,-0.3,0.64,-0.3,-0.2,-0.20%,0.00%,-0.20%,0.66,-0.10%,-3.6,-0.4,0.91,-3.4,0.57,4,salazce01
591,Gary Sánchez,30,267,TOT,3.4,0.3,269,-0.1,4.5,-4.6,0.89,0.5,-0.6,-0.10%,1.30%,-1.40%,0.43,-0.40%,3.7,0.4,0.94,5,1.96,6,sanchga02
592,Gary Sánchez,30,7,NYM,-0.9,-0.1,7,-0.1,0,-0.1,1.06,-0.1,0,-0.10%,0.00%,-0.10%,1.09,0.00%,-1.8,-0.2,1.16,-1.5,,0,sanchga02
593,Gary Sánchez,30,260,SDP,4.3,0.4,262,0,4.4,-4.4,0.88,0.6,-0.6,0.00%,1.20%,-1.30%,0.41,-0.30%,5.5,0.5,0.93,6.5,1.96,6,sanchga02
594,Jesús Sánchez*,25,402,MIA,3.8,0.4,410,0.1,7.6,-7.5,1.02,0.1,0,-0.20%,4.90%,-5.20%,1.14,-0.30%,-3.5,-0.3,0.98,1.8,1.47,11,sanchje02
595,Carlos Santana#,37,619,TOT,2.4,0.2,625,0.5,11.7,-11.3,1.04,0.1,0.3,-0.40%,5.20%,-5.50%,0.82,-0.40%,4.4,0.4,0.97,0.8,2.28,1,santaca01
596,Carlos Santana#,37,393,PIT,0.4,0,399,0.7,7.6,-6.9,1.03,0.1,0.5,0.10%,3.70%,-3.60%,0.9,0.00%,3.2,0.3,0.96,0.4,,0,santaca01
597,Carlos Santana#,37,226,MIL,2,0.2,226,-0.2,4.2,-4.3,1.05,0,-0.2,-0.50%,1.40%,-1.90%,0.69,-0.50%,1.2,0.1,0.98,0.4,2.28,1,santaca01
598,Anthony Santander#,28,656,BAL,17.4,1.7,666,2.7,12.9,-10.2,0.91,1.4,1.6,1.50%,8.20%,-6.70%,0.99,0.70%,23.8,2.4,0.91,13.5,2.66,2,santaan02
599,Josh Sborz,29,1,TEX,-0.3,0,1,0,0,0,0,0,,0.00%,0.00%,0.00%,0,,-0.3,0,1.1,-0.3,,0,sborzjo01
600,Nolan Schanuel*,21,132,LAA,1.6,0.2,135,0.1,2.5,-2.4,1.17,0.2,-0.1,0.00%,0.00%,0.00%,0.02,0.00%,4.5,0.4,0.91,3.1,,0,schanno01
601,Casey Schmitt,24,277,SFG,-13.9,-1.4,285,-1.3,3.8,-5.1,0.96,-1.4,0,-1.00%,2.50%,-3.50%,1.11,0.00%,-15,-1.5,0.97,-16.2,1.54,7,schmica01
602,Davis Schneider,24,141,TOR,13.1,1.3,145,0.1,2.7,-2.6,1.01,1,-0.9,-0.10%,1.80%,-1.90%,1.21,-0.70%,8.6,0.8,0.94,13.8,0.68,3,schneda03
603,Jonathan Schoop,31,151,DET,-8.6,-0.9,152,-2,1.7,-3.7,1.09,-1.2,-0.6,-0.90%,0.60%,-1.50%,0.75,-0.50%,-14.1,-1.4,0.97,-13.1,1.26,15,schoojo01
604,Kyle Schwarber*,30,720,PHI,19.8,1.9,728,1.4,13.9,-12.5,1.04,1.4,-0.1,0.80%,7.00%,-6.20%,0.87,0.00%,21.4,2.1,0.94,18.8,,0,schwaky01
605,Corey Seager*,29,536,TEX,47.4,4.6,552,4.4,11.7,-7.3,0.94,4.7,0,4.00%,11.40%,-7.40%,1.54,-0.30%,49.6,4.8,0.92,49.7,,0,seageco01
606,Chandler Seagle,27,1,SDP,-0.3,0,1,0,0,0,0.03,0,0,0.00%,0.00%,0.00%,0,,-0.2,0,0.86,-0.3,,1,seaglch01
607,Jean Segura,33,326,MIA,-21.2,-2.1,340,-1.7,4.4,-6.1,0.97,-2.4,0.6,-1.00%,2.70%,-3.70%,0.98,0.40%,-24,-2.3,0.92,-26.7,1.02,1,segurje01
608,Marcus Semien,32,753,TEX,20.9,2,778,1,12.7,-11.7,0.9,2.5,-1.5,0.40%,11.70%,-11.20%,1.41,-1.20%,32,3.1,0.94,29.1,,0,semiema01
609,Nick Senzel,28,330,CIN,-7.2,-0.7,344,-0.3,6.1,-6.3,1.01,0.2,-0.5,-0.40%,3.30%,-3.70%,0.96,-0.60%,-4.3,-0.4,0.95,2.1,1.04,17,senzeni01
610,Brian Serven,28,23,COL,-4.1,-0.4,23,-0.2,0.1,-0.3,0.67,-0.3,0.1,0.00%,0.10%,-0.10%,0.45,0.10%,-3.7,-0.3,0.87,-4.3,,1,servebr01
611,Gavin Sheets*,27,344,CHW,-16.6,-1.6,347,-0.6,5.4,-6,1.01,-1.7,1.2,0.00%,1.00%,-1.10%,0.31,0.40%,-10.1,-1,0.94,-19.5,1.84,19,sheetga01
612,Braden Shewmake*,25,4,ATL,-1.1,-0.1,4,-0.1,0,-0.1,0.92,-0.1,0,-0.10%,0.00%,-0.10%,1.1,0.00%,-1.3,-0.1,0.95,-1.3,,0,shewmbr01
613,Zack Short,28,253,DET,-8.3,-0.8,260,-0.6,4,-4.7,1.01,-0.9,0.3,-0.20%,1.00%,-1.20%,0.43,-0.10%,-4.7,-0.5,0.99,-10.1,0.83,16,shortza01
614,Michael Siani*,23,6,TOT,-1.1,-0.1,7,-0.1,0,-0.1,0.62,-0.1,-0.1,0.00%,0.00%,0.00%,0.04,0.00%,-2.1,-0.2,1.17,-1.5,,0,sianimi01
615,Michael Siani*,23,1,CIN,0.3,0,2,0,0,0,0.13,0,0,0.00%,0.00%,0.00%,0.14,0.00%,-0.2,0,1.12,0,,0,sianimi01
616,Michael Siani*,23,5,STL,-1.4,-0.1,5,-0.1,0,-0.1,0.82,-0.1,-0.1,0.00%,0.00%,0.00%,0,,-1.8,-0.2,1.2,-1.5,,0,sianimi01
617,Jon Singleton*,31,105,TOT,-6.5,-0.6,106,-1.3,1,-2.3,1.02,-0.7,-0.6,-1.70%,0.90%,-2.60%,1.88,-0.50%,-7.3,-0.7,1.02,-7.6,1.73,10,singljo02
618,Jon Singleton*,31,32,MIL,-4.4,-0.4,32,-0.3,0.3,-0.6,0.87,-0.4,0,-0.20%,0.20%,-0.40%,1.06,0.00%,-3.7,-0.4,0.97,-4.4,1.36,2,singljo02
619,Jon Singleton*,31,73,HOU,-2.1,-0.2,74,-1,0.7,-1.7,1.09,-0.3,-0.7,-1.50%,0.70%,-2.20%,2.23,-0.50%,-3.6,-0.4,1.04,-3.3,1.82,8,singljo02
620,Jose Siri,27,364,TBR,1,0.1,388,0.1,6.6,-6.5,0.94,0.5,-0.5,0.10%,4.20%,-4.10%,0.99,-0.30%,-1.5,-0.2,0.96,2.7,1.16,2,sirijo01
621,Austin Slater,30,207,SFG,2.2,0.2,214,0.7,3.9,-3.2,0.92,0.4,0.4,0.20%,2.40%,-2.20%,1.01,0.00%,3.7,0.4,0.91,2.5,1.17,36,slateau01
622,Dominic Smith*,28,586,WSN,-5.2,-0.5,599,-1.5,9,-10.5,0.99,-1.7,0.1,-0.10%,1.70%,-1.80%,0.28,0.30%,-21.7,-2.2,0.93,-15.5,2.78,2,smithdo02
623,Josh Smith*,25,232,TEX,-7.2,-0.7,234,-1.2,2.6,-3.8,0.85,-0.9,-0.5,-0.90%,2.30%,-3.20%,1.21,-0.20%,-10.1,-1,0.97,-7.3,1.72,6,smithjo11
624,Kevin Smith,26,146,OAK,-8.5,-0.9,149,-1.7,1.5,-3.2,1.01,-1.2,-0.4,-0.30%,0.20%,-0.50%,0.24,-0.70%,-16.7,-1.7,1,-14.4,1.36,4,smithke05
625,Pavin Smith*,27,228,ARI,-5.8,-0.6,233,-0.5,3.4,-3.9,0.94,-0.7,0.2,-0.50%,2.50%,-3.00%,1.18,0.00%,-5,-0.5,0.97,-8.6,2.1,10,smithpa04
626,Will Smith,28,554,LAD,12.3,1.2,568,0.2,9.6,-9.4,1.02,1.7,-1.6,0.60%,5.80%,-5.10%,0.96,-0.30%,8.8,0.8,0.98,13.8,3.51,3,smithwi05
627,Canaan Smith-Njigba*,24,37,PIT,-3.6,-0.4,38,-0.1,0.5,-0.6,1.11,-0.1,0.1,-0.10%,0.30%,-0.40%,1.19,0.00%,-2.5,-0.2,0.95,-1.7,0.76,1,smithca05
628,Tyler Soderstrom*,21,138,OAK,-10.6,-1.1,139,-1.6,1.1,-2.7,0.91,-1.5,-0.2,0.00%,0.00%,0.00%,0,,-12.1,-1.2,0.86,-13.5,2.17,7,soderty01
629,Donovan Solano,35,450,MIN,7.7,0.8,459,0.5,8.4,-7.9,1.1,-0.1,0.6,0.50%,4.50%,-4.00%,0.95,0.60%,8.9,0.9,0.92,4,1.34,29,solando01
630,Jorge Soler,31,580,MIA,19.4,1.9,587,3,13.2,-10.2,1.03,1.6,1.3,1.90%,8.60%,-6.80%,1.16,0.70%,4.8,0.5,0.97,14.1,1.66,4,solerjo01
631,Edmundo Sosa,27,300,PHI,-3,-0.3,309,-1.8,4.3,-6.1,0.96,-0.7,-1.1,-0.80%,2.10%,-2.90%,0.77,-0.60%,-14,-1.4,0.95,-9.3,1.08,6,sosaed01
632,Lenyn Sosa,23,173,CHW,-11.3,-1.1,175,-1.4,1.7,-3,0.85,-0.8,-0.8,-0.30%,0.20%,-0.50%,0.22,-1.00%,-11.2,-1.1,0.84,-9.4,0.27,3,sosale01
633,Juan Soto*,24,708,SDP,53.4,5.1,738,3.5,14.5,-11,0.97,4.8,-1.1,0.70%,4.60%,-3.90%,0.55,-1.00%,49.6,4.8,0.94,55.3,1.58,1,sotoju01
634,Livan Soto*,23,12,LAA,0,0,13,0,0.1,-0.1,0.74,0,0,0.00%,0.10%,-0.10%,0.67,0.00%,0,0,1,0.1,,0,sotoli01
635,George Springer,33,683,TOR,2.1,0.2,714,-0.7,12.3,-13,1.04,-0.7,-0.1,-0.80%,7.50%,-8.30%,1.1,-0.40%,-12.1,-1.2,0.97,-8.6,1.78,3,springe01
636,Jacob Stallings,33,276,MIA,-15.1,-1.5,277,-1.5,3.5,-4.9,0.95,-1.5,0,-1.10%,2.40%,-3.50%,1.1,-0.10%,-16.6,-1.6,0.93,-18.1,,3,stallja01
637,Giancarlo Stanton,33,415,NYY,-8,-0.8,419,-1.3,6.9,-8.1,0.98,-0.2,-1.1,-0.60%,2.40%,-3.10%,0.61,-1.20%,-8.5,-0.8,0.93,-0.9,2.14,3,stantmi03
638,Spencer Steer,25,665,CIN,16.7,1.6,697,0.4,12.4,-12,1,1.4,-1.1,0.20%,8.00%,-7.80%,1.08,-0.70%,14.4,1.4,0.92,23.5,2.56,3,steersp01
639,Michael Stefanic,27,71,LAA,0.4,0,73,0.4,1.5,-1.1,0.98,0,0.4,0.00%,0.30%,-0.30%,0.43,0.00%,1.2,0.1,0.97,0.7,2.73,4,stefami01
640,Tyler Stephenson,26,517,CIN,-9.3,-0.9,525,-2.2,8.3,-10.5,1.03,-0.5,-1.6,-1.50%,5.00%,-6.50%,1.05,-1.20%,-16.7,-1.6,0.97,-8.5,2.17,11,stephty01
641,Andrew Stevenson*,29,40,MIN,-3.6,-0.4,45,-0.5,0.5,-1,1.26,-0.3,-0.1,-0.10%,0.10%,-0.20%,0.4,-0.10%,-3.8,-0.4,0.98,-4,0.74,2,stevean01
642,Cal Stevenson*,26,12,SFG,-1.5,-0.1,12,0,0.2,-0.1,0.71,0,0.1,0.00%,0.10%,-0.10%,0.53,0.00%,-0.4,0,0.84,-0.4,,0,steveca01
643,DJ Stewart*,29,185,NYM,6.2,0.6,191,0.2,3.4,-3.1,0.98,0.5,-0.3,0.00%,0.10%,-0.20%,0.08,-0.60%,3.4,0.3,0.91,6.4,0.04,3,stewadj01
644,Trevor Story,30,168,BOS,-11,-1.1,184,-0.7,2.6,-3.3,1.04,-0.9,0.2,-0.30%,0.40%,-0.70%,0.36,-0.30%,-7.1,-0.7,0.97,-9.4,,0,storytr01
645,Bryson Stott*,25,640,PHI,3.6,0.4,686,1.3,12.3,-11.1,1.03,0.1,1.1,0.80%,6.30%,-5.50%,0.86,0.90%,3,0.3,0.94,0.8,1.98,6,stottbr01
646,Kyle Stowers*,25,33,BAL,-5.5,-0.6,34,-0.7,0.1,-0.9,1.05,-0.5,-0.1,-0.40%,0.10%,-0.50%,1.1,-0.10%,-6.5,-0.7,0.93,-6.4,0.64,1,stoweky01
647,Myles Straw,28,518,CLE,-18.4,-1.8,553,-3.8,7.2,-11,1.13,-2.1,-1.3,-1.60%,3.30%,-4.90%,0.84,-0.40%,-24.4,-2.4,0.96,-22.6,,0,strawmy01
648,Garrett Stubbs*,30,125,PHI,-7.4,-0.7,131,-0.3,1.6,-1.9,0.83,-0.8,0.4,-0.30%,0.70%,-1.00%,0.67,0.00%,-4,-0.4,0.91,-8.1,0.13,3,stubbga01
649,Eugenio Suárez,31,694,SEA,4.2,0.4,703,-0.6,12.7,-13.3,1.07,-0.5,0,-0.20%,9.50%,-9.70%,1.31,0.20%,1.4,0.1,0.98,-5.6,,0,suareeu01
650,Brett Sullivan*,29,86,SDP,-5.8,-0.6,88,-0.4,1.1,-1.5,0.9,-0.5,0,-0.20%,0.40%,-0.60%,0.49,-0.20%,-5.3,-0.5,0.88,-5.1,1.77,4,sullibr01
651,Jack Suwinski*,24,534,PIT,10.8,1,554,-0.3,8.8,-9,0.97,0.8,-1.1,0.10%,3.10%,-3.00%,0.56,0.00%,3.5,0.3,0.96,10.4,1.61,5,suwinja01
652,Seiya Suzuki,28,583,CHC,18.1,1.7,601,0.2,9.8,-9.6,0.95,1.3,-1,0.30%,6.10%,-5.80%,0.97,-0.40%,7.1,0.7,0.95,13.4,0.03,1,suzukse01
653,Dansby Swanson,29,638,CHC,-1.5,-0.2,658,-1.7,9.9,-11.7,1,-0.5,-1.3,-1.70%,6.00%,-7.80%,1.09,-1.20%,-3.4,-0.3,0.96,-2.8,,0,swansda01
654,Raimel Tapia*,29,169,TOT,-4.3,-0.4,189,-0.2,2.6,-2.8,1.02,-0.2,0,-0.30%,1.50%,-1.80%,0.99,-0.20%,0.3,0,0.93,-1.1,2.09,16,tapiara01
655,Raimel Tapia*,29,108,TOT,-0.9,-0.1,125,0.2,1.9,-1.7,1,0.2,0,0.00%,0.90%,-0.80%,0.8,-0.10%,3.8,0.4,0.96,1.9,2.19,13,tapiara01
656,Raimel Tapia*,29,97,BOS,-1.3,-0.1,112,0,1.7,-1.6,1.03,0.1,-0.1,0.00%,0.90%,-0.80%,0.88,0.00%,3.1,0.3,0.94,1.2,2.19,13,tapiara01
657,Raimel Tapia*,29,61,MIL,-3.5,-0.3,64,-0.4,0.8,-1.1,1.06,-0.3,0,-0.30%,0.60%,-0.90%,1.37,0.00%,-3.5,-0.3,0.86,-3,1.67,3,tapiara01
658,Raimel Tapia*,29,11,TBR,0.5,0.1,13,0.2,0.2,0,0.74,0.1,0.2,0.00%,0.00%,0.00%,0.08,-0.10%,0.7,0.1,1.09,0.7,4.05,0,tapiara01
659,Fernando Tatis Jr.,24,635,SDP,10.2,1,685,1.4,12.1,-10.7,0.96,1.5,0,0.90%,4.20%,-3.30%,0.5,1.00%,11.9,1.2,0.96,13.5,5.14,1,tatisfe02
660,Mike Tauchman*,32,401,CHC,2.3,0.2,420,0.9,7,-6,0.96,0.8,0.2,0.20%,3.80%,-3.60%,0.94,-0.20%,19,1.8,0.98,10.5,1.13,16,tauchmi01
661,Leody Taveras#,24,554,TEX,-2.6,-0.3,580,-1.3,8,-9.3,0.92,-0.2,-1.2,-0.80%,7.90%,-8.80%,1.45,-0.50%,-1.7,-0.2,0.97,-1.7,2,3,taverle01
662,Chris Taylor,32,384,LAD,-0.3,0,408,0.9,7.6,-6.7,1,0,0.8,0.50%,4.30%,-3.80%,0.93,0.50%,1.5,0.1,1,-0.1,1.35,21,tayloch03
663,Michael A. Taylor,32,388,MIN,-4.4,-0.4,408,0.1,6.8,-6.7,0.99,0.1,0.1,0.10%,3.70%,-3.60%,0.9,0.00%,-4.8,-0.5,0.93,-1.7,0.01,1,taylomi02
664,Samad Taylor,24,69,KCR,-3.9,-0.4,77,0.2,1.3,-1.1,1.09,-0.3,0.5,0.00%,0.00%,0.00%,0,0.00%,-1.4,-0.1,0.91,-3.4,0.59,3,taylosa04
665,Tyrone Taylor,29,243,MIL,-3.5,-0.3,251,-0.4,4.6,-5,1.02,-0.5,0.1,-0.40%,2.10%,-2.50%,0.84,-0.20%,-9.1,-0.9,0.96,-3.4,2.59,4,tayloty01
666,Rowdy Tellez*,28,351,MIL,-8.1,-0.8,355,-1.4,5.3,-6.7,0.97,-0.7,-0.8,-0.80%,3.20%,-4.00%,0.98,-0.40%,-6.1,-0.6,0.95,-8.6,1.57,17,tellero01
667,José Tena*,22,34,CLE,-1.4,-0.1,36,0.3,0.9,-0.6,1.34,-0.1,0.3,0.10%,0.20%,-0.10%,0.31,0.50%,-0.3,0,0.99,-1.8,1.22,3,tenajo01
668,Matt Thaiss*,28,307,LAA,-6.8,-0.7,311,-0.2,5.1,-5.4,0.96,-0.2,0,-0.10%,2.60%,-2.70%,0.83,-0.10%,-6,-0.6,0.91,-5.5,1.24,15,thaisma01
669,Alek Thomas*,23,402,ARI,-14.3,-1.4,417,-0.6,6.2,-6.8,0.93,-1.2,0.6,-0.20%,4.70%,-4.90%,1.12,0.60%,-9,-0.9,0.91,-14,1.98,8,thomaal01
670,Cody Thomas*,28,46,OAK,-0.2,0,48,-0.4,0.7,-1.1,1.05,-0.2,-0.2,0.00%,0.00%,0.00%,0,,-4.1,-0.4,0.87,-2.4,0.03,4,thomaco01
671,Lane Thomas,27,682,WSN,11,1.1,715,1.7,14.3,-12.6,1.04,1.1,0.6,0.30%,2.20%,-2.00%,0.27,0.00%,7,0.7,0.96,10.5,2.61,2,thomala02
672,Bubba Thompson,25,60,TEX,-4.3,-0.4,70,0,0.8,-0.8,0.72,-0.3,0.3,0.00%,0.50%,-0.50%,0.83,0.10%,-2.7,-0.3,1.04,-4.8,0.11,3,thompbu01
673,Trayce Thompson,32,179,TOT,-9.2,-0.9,183,-1.3,2.4,-3.7,1.04,-0.7,-0.6,-0.20%,0.90%,-1.10%,0.54,-0.10%,-6.1,-0.6,0.92,-7.5,0.72,13,thomptr01
674,Trayce Thompson,32,87,LAD,-1.9,-0.2,89,-0.3,1.3,-1.6,0.98,-0.2,-0.1,-0.20%,0.90%,-1.10%,1.12,-0.10%,2.3,0.2,0.93,-1.3,0.95,9,thomptr01
675,Trayce Thompson,32,92,CHW,-7.3,-0.7,94,-1,1.1,-2.1,1.09,-0.5,-0.4,0.00%,0.00%,0.00%,0,-0.90%,-8.4,-0.8,0.91,-6.2,0.21,4,thomptr01
676,Michael Toglia#,24,152,COL,-15,-1.5,155,-1.3,1.7,-3,0.93,-1.1,-0.3,-0.10%,0.10%,-0.10%,0.08,-0.80%,-14.3,-1.3,0.91,-14.3,1,4,toglimi01
677,Spencer Torkelson,23,684,DET,4.2,0.4,696,-0.5,12.3,-12.7,1.02,0.8,-1.3,-0.30%,3.30%,-3.60%,0.48,-1.20%,0.1,0,0.94,9.6,,0,torkesp01
678,Abraham Toro#,26,21,MIL,3.9,0.4,21,0.3,0.6,-0.3,1.15,0.3,0,0.30%,0.50%,-0.20%,1.58,0.00%,7.1,0.7,1.09,4.1,0.23,0,toroab01
679,Luis Torrens,27,30,TOT,-0.8,-0.1,31,-0.2,0.3,-0.5,0.89,-0.2,0,-0.30%,0.20%,-0.50%,1.34,-0.10%,-0.6,-0.1,0.93,-1.6,1.8,6,torrelu01
680,Luis Torrens,27,22,CHC,-0.9,-0.1,23,-0.1,0.3,-0.4,0.96,-0.1,0,-0.10%,0.20%,-0.20%,0.98,0.00%,-0.5,0,0.94,-1.6,0.7,3,torrelu01
681,Luis Torrens,27,8,SEA,0.1,0,8,-0.1,0.1,-0.1,0.68,0,-0.1,-0.20%,0.10%,-0.30%,2.38,-0.10%,-0.1,0,0.91,0,2.89,3,torrelu01
682,Gleyber Torres,26,672,NYY,15,1.5,696,0.4,11.6,-11.1,0.94,1.8,-1.4,-0.20%,4.50%,-4.70%,0.64,-1.00%,6.7,0.6,0.92,12.5,2.17,2,torregl01
683,Ezequiel Tovar,21,615,COL,-20.9,-2,646,0.5,11.5,-11,0.97,-1.8,2.3,0.00%,1.40%,-1.40%,0.21,0.10%,-9.6,-0.9,0.93,-22.2,,0,tovarez01
684,Taylor Trammell*,25,56,SEA,-1.6,-0.2,58,0.3,1.2,-1,0.99,-0.2,0.5,0.10%,0.60%,-0.50%,0.84,0.20%,2.4,0.2,0.99,-2.4,1.79,2,trammta01
685,Alan Trejo,27,227,COL,-11.5,-1.1,238,-0.6,3.6,-4.2,0.96,-0.7,0,-0.20%,0.60%,-0.80%,0.32,-0.40%,-6.9,-0.6,0.96,-10.3,0.97,12,trejoal01
686,Jose Trevino,30,168,NYY,-10.2,-1,171,-0.9,2.2,-3.1,0.89,-0.7,-0.4,-0.50%,1.30%,-1.80%,0.86,-0.20%,-8.6,-0.8,0.88,-8.8,4.06,1,trevijo01
687,Jared Triolo,25,209,PIT,5.3,0.5,220,1.5,4.7,-3.2,1.1,0.2,1.1,0.20%,0.50%,-0.30%,0.17,1.30%,10.8,1,0.96,6.2,4.06,2,triolja01
688,Chadwick Tromp,28,16,ATL,-2.7,-0.3,16,-0.3,0.1,-0.4,1.18,-0.3,0,-0.20%,0.10%,-0.30%,1.44,0.00%,-2.3,-0.2,0.98,-2.9,,0,trompch01
689,Mike Trout,31,362,LAA,14.2,1.4,370,1.7,7.7,-6,1.06,1.2,0.4,1.10%,4.80%,-3.70%,1.11,0.20%,15.2,1.5,0.95,13.5,0.97,2,troutmi01
690,Cole Tucker#,26,10,COL,1.3,0.1,10,0.3,0.4,-0.1,1.28,0.2,0.1,0.00%,0.00%,0.00%,0,0.00%,2.7,0.2,0.9,1.9,1.16,2,tuckeco01
691,Kyle Tucker*,26,674,HOU,35.7,3.5,715,4.6,15.3,-10.7,1.01,3.5,1,4.00%,14.90%,-10.90%,1.68,0.30%,38.1,3.7,0.97,38.1,1.83,1,tuckeky01
692,Brice Turang*,23,448,MIL,-22.2,-2.2,489,-1.5,7.3,-8.8,1.05,-1.8,0.3,-0.70%,4.80%,-5.50%,1.08,0.40%,-16.9,-1.6,0.98,-22,0.62,7,turanbr02
693,Justin Turner,38,626,BOS,11.5,1.1,637,1.8,12.4,-10.6,0.98,1.1,0.8,1.40%,5.40%,-3.90%,0.65,1.30%,21.6,2.1,0.92,12.3,1.23,2,turneju01
694,Trea Turner,30,691,PHI,7.9,0.8,732,0.7,14,-13.4,1.05,1,-0.4,-0.30%,6.50%,-6.80%,0.87,-0.80%,5.1,0.5,0.94,10.3,,0,turnetr01
695,Luis Urías,26,177,TOT,-4.1,-0.4,179,-0.1,2.6,-2.7,0.97,-0.4,0.3,-0.10%,1.20%,-1.30%,0.72,0.20%,0,0,0.91,-5.3,1.36,3,uriaslu01
696,Luis Urías,26,68,MIL,-3.5,-0.3,69,-0.4,0.9,-1.3,1,-0.4,0,-0.30%,0.60%,-0.90%,1.17,0.00%,-2.6,-0.3,0.86,-4.1,1.13,2,uriaslu01
697,Luis Urías,26,109,BOS,-0.5,-0.1,110,0.3,1.7,-1.5,0.94,0,0.3,0.20%,0.50%,-0.40%,0.44,0.40%,2.6,0.2,0.94,-1.3,1.8,1,uriaslu01
698,Ramón Urías,29,396,BAL,-0.3,0,406,-0.1,5.8,-5.9,0.83,-0.8,0.7,-0.20%,3.70%,-3.90%,0.9,0.30%,2.2,0.2,0.95,-5,1.07,10,uriasra01
699,Gio Urshela,31,228,LAA,-2.8,-0.3,236,-0.2,4.1,-4.3,1.01,-0.5,0.3,-0.20%,2.50%,-2.70%,1.04,0.10%,-6,-0.6,0.89,-5.3,1.98,3,urshegi01
700,Enmanuel Valdez*,24,149,BOS,0.1,0,155,0.1,3.2,-3.1,1.05,-0.1,0.2,0.00%,1.00%,-1.00%,0.59,0.10%,0.5,0.1,0.98,-1.7,,0,valdeen01
701,Ildemaro Vargas#,31,286,WSN,-5.8,-0.6,293,-0.6,4.3,-4.9,1.01,-1,0.5,-0.20%,0.30%,-0.50%,0.14,-0.50%,-4.3,-0.4,0.91,-9.9,2.67,11,vargail01
702,Miguel Vargas,23,304,LAD,-6.4,-0.6,316,-1.3,4.5,-5.8,1.03,-0.4,-0.9,-1.00%,3.20%,-4.20%,1.24,-0.60%,-7.7,-0.7,0.96,-7.1,1.13,7,vargami01
703,Daulton Varsho*,26,581,TOR,-11.7,-1.2,609,-2.2,9,-11.3,1.04,-1.8,-0.3,-1.30%,5.80%,-7.00%,1.08,-0.10%,-19.2,-1.9,0.98,-20.6,0.78,4,varshda01
704,Andrew Vaughn,25,615,CHW,-0.6,-0.1,626,-0.5,10.6,-11.1,0.99,-0.2,-0.3,0.10%,2.10%,-2.10%,0.31,0.40%,-2.6,-0.3,0.92,-4.6,1.3,4,vaughan01
705,Terrin Vavra*,26,56,BAL,-2.5,-0.3,59,-0.3,0.9,-1.2,1.24,-0.3,0.1,-0.20%,0.50%,-0.70%,1.3,0.00%,-4.3,-0.4,1.08,-4.1,3.54,4,vavrate01
706,Christian Vázquez,32,355,MIN,-16.3,-1.6,358,-2.6,5.1,-7.6,1.07,-2,-0.4,-1.10%,2.70%,-3.80%,0.91,-0.10%,-21.1,-2.1,0.92,-21.4,3.36,4,vazquch01
